============================================================================================
ANSOFT                                                                              10/25/25
Terminal S Parameter Plot 3                                                         14:08:49

--------------------------------------------------------------------------------------------
       Freq [GHz]   dB(St(line0_filling1_T2,line_filling_T1)) []
                                                                
0.100000000000000                             -0.002994530456232
0.111125000000000                             -0.003691597615757
0.122250000000000                             -0.004459323283551
0.133375000000000                             -0.005296873476451
0.144500000000000                             -0.006203338545945
0.155625000000000                             -0.007177734212047
0.166750000000000                             -0.008219002680172
0.177875000000000                             -0.009326013839311
0.189000000000000                             -0.010497566539735
0.200125000000000                             -0.011732389948299
0.211250000000000                             -0.013029144979347
0.222375000000000                             -0.014386425799116
0.233500000000000                             -0.015802761401447
0.244625000000000                             -0.017276617252522
0.255750000000000                             -0.018806397002307
0.266875000000000                             -0.020390444260203
0.278000000000000                             -0.022027044432508
0.289125000000000                             -0.023714426619080
0.300250000000000                             -0.025450765566618
0.311375000000000                             -0.027234183675926
0.322500000000000                             -0.029062753060464
0.333625000000000                             -0.030934497653480
0.344750000000000                             -0.032847395360966
0.355875000000000                             -0.034799380257694
0.367000000000000                             -0.036788344823545
0.378125000000000                             -0.038812142217320
0.389250000000000                             -0.040868588585315
0.400375000000000                             -0.042955465401806
0.411500000000000                             -0.045070521838687
0.422625000000000                             -0.047211477161552
0.433750000000000                             -0.049376023149398
0.444875000000000                             -0.051561826535294
0.456000000000000                             -0.053766531465304
0.467125000000000                             -0.055987761973030
0.478250000000000                             -0.058223124467106
0.489375000000000                             -0.060470210229143
0.500500000000000                             -0.062726597919518
0.511625000000000                             -0.064989856088571
0.522750000000000                             -0.067257545690745
0.533875000000000                             -0.069527222599322
0.545000000000000                             -0.071796440119349
0.556125000000000                             -0.074062751496601
0.567250000000000                             -0.076323712420243
0.578375000000000                             -0.078576883517114
0.589500000000000                             -0.080819832835518
0.600625000000000                             -0.083050138316476
0.611750000000000                             -0.085265390250459
0.622875000000000                             -0.087463193717743
0.634000000000000                             -0.089641171010428
0.645125000000000                             -0.091796964034459
0.656250000000000                             -0.093928236689796
0.667375000000000                             -0.096032677227148
0.678500000000000                             -0.098108000579567
0.689625000000000                             -0.100151950667460
0.700750000000000                             -0.102162302675348
0.711875000000000                             -0.104136865299057
0.723000000000000                             -0.106073482961849
0.734125000000000                             -0.107970037998160
0.745250000000000                             -0.109824452803619
0.756375000000000                             -0.111634691950060
0.767500000000000                             -0.113398764264297
0.778625000000000                             -0.115114724869470
0.789750000000000                             -0.116780677187758
0.800875000000000                             -0.118394774903326
0.812000000000000                             -0.119955223884428
0.823125000000000                             -0.121460284063488
0.834250000000000                             -0.122908271274154
0.845375000000000                             -0.124297559044248
0.856500000000000                             -0.125626580343491
0.867625000000000                             -0.126893829285090
0.878750000000000                             -0.128097862780017
0.889875000000000                             -0.129237302143011
0.901000000000000                             -0.130310834649257
0.912125000000000                             -0.131317215040649
0.923250000000000                             -0.132255266980684
0.934375000000000                             -0.133123884456739
0.945500000000000                             -0.133922033128817
0.956625000000000                             -0.134648751623595
0.967750000000000                             -0.135303152772569
0.978875000000000                             -0.135884424793246
0.990000000000000                             -0.136391832412175
1.001125000000000                             -0.136824717928519
1.012250000000000                             -0.137182502217056
1.023375000000000                             -0.137464685669191
1.034500000000000                             -0.137670849070771
1.045625000000000                             -0.137800654415251
1.056750000000000                             -0.137853845650901
1.067875000000000                             -0.137830249360499
1.079000000000000                             -0.137729775372166
1.090125000000000                             -0.137552417299674
1.101250000000000                             -0.137298253010758
1.112375000000000                             -0.136967445021781
1.123500000000000                             -0.136560240817098
1.134625000000000                             -0.136076973091406
1.145750000000000                             -0.135518059913359
1.156875000000000                             -0.134884004808683
1.168000000000000                             -0.134175396760948
1.179125000000000                             -0.133392910128127
1.190250000000000                             -0.132537304473153
1.201375000000000                             -0.131609424306429
1.212500000000000                             -0.130610198738476
1.223625000000000                             -0.129540641040682
1.234750000000000                             -0.128401848112248
1.245875000000000                             -0.127194999851272
1.257000000000000                             -0.125921358428051
1.268125000000000                             -0.124582267458608
1.279250000000000                             -0.123179151076428
1.290375000000000                             -0.121713512900497
1.301500000000000                             -0.120186934897691
1.312625000000000                             -0.118601076137582
1.323750000000000                             -0.116957671437910
1.334875000000000                             -0.115258529898745
1.346000000000000                             -0.113505533323810
1.357125000000000                             -0.111700634527067
1.368250000000000                             -0.109845855523204
1.379375000000000                             -0.107943285600370
1.390500000000000                             -0.105995079273849
1.401625000000000                             -0.104003454119419
1.412750000000000                             -0.101970688485265
1.423875000000000                             -0.099899119081447
1.435000000000000                             -0.097791138446161
1.446125000000000                             -0.095649192288116
1.457250000000000                             -0.093475776704596
1.468375000000000                             -0.091273435274993
1.479500000000000                             -0.089044756029762
